PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
1416,144206382,92942,C[C@H](CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,88.3668,-37.6933,inactive,,0,RTI
1417,144210609,9153,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,38.5708,-37.5696,inactive,,0,SIGMA
1418,144206427,60196332,C[C@H](CC1=CC(=C(C=C1OC)Br)OC)N.Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,31.4657,-37.3068,inactive,,0,RTI
1419,144211472,34192,CCN(CC)C(=O)SCC1=CC=C(C=C1)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,43.2771,-37.1469,inactive,,0,SIGMA
1420,144209558,34192,CCN(CC)C(=O)SCC1=CC=C(C=C1)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,17.7383,-37.0287,inactive,,0,SIGMA
1421,144213363,8363,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,24.3365,-36.8952,inactive,,0,SIGMA
1422,144210139,6259,C1=CC=C(C=C1)C(=O)CBr,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,65.1481,-36.7,inactive,,0,SIGMA
1423,251919774,41718,CCOP(=S)(OCC)SCS(=O)(=O)C(C)(C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,51.435,-36.6781,inactive,,0,Sigma Chemical Company
1424,144213751,11982778,CC1=C(C=CO1)C(=O)NC2=CC=C(C=C2)C(=O)N3C4=CC=CC=C4/C(=C/C(=O)N5CCC(CC5)N6CCCCC6)/C(CC3)(F)F.CC1=C(C=CO1)C(=O)NC2=CC=C(C=C2)C(=O)N3C4=CC=CC=C4/C(=C/C(=O)N5CCC(CC5)N6CCCCC6)/C(CC3)(F)F.C(=C/C(=O)O)\C(=O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,21.4163,-36.6154,inactive,,0,Astellas Pharma
1425,251919836,9500,C1=CC(=NC=C1C(=O)N)N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,6.85896,-36.3151,inactive,,0,Sigma Chemical Company
1426,144207796,2758873,CCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-36.2972,inconclusive antagonist,,,Io-li-tec
1427,144210468,2730,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,36.4132,-36.2151,inactive,,0,SIGMA
1428,251919722,9507,CC1=CC(=NC(=O)N1)C.C1=CC(=CC=C1NC(=O)NC2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,6.68242,-35.8466,inactive,,0,Sigma Chemical Company
1429,170466297,28767,CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C.Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,10.5909,-35.5883,inactive,,0,Microsource
1430,144213281,6702,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,2.29752,-35.0262,inactive,,0,Enamine
1431,170466783,19529,CN(C1=CC=C(C=C1)OC(=O)C2=CC=CO2)C(=O)C(Cl)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,18.8336,-34.7744,inactive,,0,Microsource
1432,144209596,8588,CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-34.6834,inactive,,0,Spectrum Chemical
1433,144209737,,,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,0.902579,-34.5301,inactive,,0,SIGMA
1434,170464781,124087,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-34.4058,inactive,,0,Vitas
1435,170464925,5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,26.6032,-34.1054,inactive,,0,Tocris
1436,170464693,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,33.4915,-33.9827,inactive,,0,Microsource
1437,144206822,26602,CCOC(=O)NC(C)(C)CC1=CC=C(C=C1)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,14.1232,-33.8847,inactive,,0,Pharmaron
1438,144211171,6129,CNC(=O)OC1=CC=CC2=CC=CC=C21,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,12.9199,-33.6889,inactive,,0,SIGMA
1439,144212727,6917655,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)OC)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,28.924,-33.6367,inactive,,0,SIGMA
1440,144207614,7453,CCC(C)C1=CC=C(C=C1)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,51.9061,-33.3505,inactive,,0,SigmaAldrich
1441,144209485,11966,CC(C)(C)OOC(=O)C1=CC=CC=C1,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,72.7277,-32.7411,inactive,,0,SIGMA
1442,144213089,12484,CC1=CC=CC=C1N.Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,54.4827,-31.9891,inactive,,0,LightBiologicals
1443,170466641,30530,CC1=NC=C(C=C1)CCN2C3=C(CN(CC3)C)C4=C2C=CC(=C4)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,33.4915,-31.4729,inactive,,0,GVK
1444,144211481,32154,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,27.306,-30.5451,inactive,,0,SIGMA
1445,144209032,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-29.3904,inactive,,0,SIGMA
1446,170466144,17113,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-28.4545,inactive,,0,Bosche
1447,144208829,43226,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-24.4878,inconclusive antagonist,,,SIGMA
1448,144208972,4933,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-23.8832,inactive,,0,SIGMA
1449,144207268,15752,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-18.4662,inactive,,0,SIGMA
1450,144210106,17599,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,8.96294,active agonist,52.9651,249.017,SIGMA
1451,144208987,7050,CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,40.496,inactive,,0,SIGMA
1452,144209929,17110,CCCCCCCCCCCCN=C(N)N.CC(=O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,47.06,inactive,,0,SIGMA
1453,144208977,6505,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,50.6942,inactive,,0,SIGMA
1454,144209039,2871,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,96.563,inactive,,0,SIGMA
1455,144209033,9154,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,119.739,inactive,,0,SIGMA
1456,170466644,5723,COC1=C(C=CC(=C1)C2=NNC(=O)C=C2)OC(F)F,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,"Prestwick Chemical, Inc."
1457,170465012,10531,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Microsource
1458,170465734,5388977,CCC(COC(=O)C1=CC(=C(C(=C1)OC)OC)OC)(C2=CC=CC=C2)N(C)C.C(=C\C(=O)O)\C(=O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Microsource
1459,170465725,8425,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Bosche
1460,170466429,6238,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Sequoia
1461,170464859,5281078,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Sequoia
1462,170466360,39299,CC1=CC(=C(N1C2=CC=C(C=C2)Cl)C)CC(=O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Enamine
1463,170466609,6719,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Vitas
1464,144214027,43704,CC(C)OC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)OC(C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1465,170465652,12629,CCCCCCCCCCCCCCCCC(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,SIGMA
1466,170465740,644020,C1CCN2C[C@@H]3C[C@H]([C@H]2C1)CN4[C@H]3CCCC4,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Vitas
1467,144206832,65870,CCOC(=O)CN1C=CC=C1C2=NC(=C(S2)C3=CC=C(C=C3)OC)C4=CC=C(C=C4)OC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Pharmaron
1468,170466033,159271,CC1=NC(=C(O1)C2=CC(=C(C=C2)S(=O)(=O)N)F)C3CCCCC3,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,GVK
1469,170465906,3086676,COC1=C2CCCCC(C2=NC=C1)S(=O)C3=NC4=CC=CC=C4N3,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,GVK
1470,170465875,5282209,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)/C=C/C6=CC(=C(C=C6)O)OC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,GVK
1471,170466417,82148,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,GVK
1472,144210570,24852044,CC[C@@H](C1=CC=CC=C1)NC(=O)C2=C(C=CC(=C2)F)[N-]S(=O)(=O)C3=CC=CC4=C3N=CC=C4.[Na+],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Pharma
1473,144210571,10201497,COC1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3C(=C2C#N)NCC4=CC=CC=C4,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Pharma
1474,144210738,27195,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1475,144210804,6937,CC1=CC(=C(C=C1)C(C)(C)C)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1476,144210882,6537503,CCC(O)OC(CC)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1477,144210653,8434,CCOC(=O)C1=CC=C(C=C1)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Enamine
1478,144210793,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1479,144210959,5125,CCCCSP(=O)(SCCCC)SCCCC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,ChemService
1480,144210962,104926,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1481,144211047,3017,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1482,144211162,4420,COP(=O)(OC)OC(C(Cl)(Cl)Br)Br,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1483,144211174,7251,CC1=C(C=CC(=C1)Cl)N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1484,144211259,2775,COC1=CC2=C(C=CC(=O)O2)C(=C1)OC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1485,144211372,10269,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)OC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1486,144211406,7656,C1=CC=C(C=C1)CNCC2=CC=CC=C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Acros
1487,144211507,31386,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1488,144211518,8621,CC1=CC(=C(C(=C1Cl)C)Cl)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1489,144211675,37125,CCCSP(=S)(OCC)OC1=CC=C(C=C1)SC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1490,144211650,36392,CCCN(CCCl)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Crescent
1491,144211585,170249,C=CC1=CC=CC(=C1)CCl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1492,144211782,5371084,CCC(=O)/C=C/C1C(=CCCC1(C)C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1493,144212052,7067,CCN(CCO)C1=CC=CC(=C1)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1494,144212351,445070,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Acros
1495,144212717,10207,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1496,144212512,449171,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Enamine
1497,144211832,20691,CCCCN(CCCC)C(=O)N(CCCC)CCCC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1498,144211568,91683,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)F)(C3=CN=CN=C3)O)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1499,144212486,135399895,C/C(=N\O)/C(=N/O)/C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Acros
1500,144212554,67005,CC1=C(C=C2C(=C1[N+](=O)[O-])C(CC2(C)C)(C)C)[N+](=O)[O-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1501,144212028,76767,C=CCOC1=C(C=C(C=C1Br)Br)Br,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1502,144213102,12679,CN(C)P(=O)(N(C)C)N(C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1503,144213322,441140,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1504,144213242,727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1505,144213174,2771871,C(=O)/C(=C(\C(=O)O)/Cl)/Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1506,144213274,5361514,CC(C)[C@H](C1=CC=C(C=C1)Cl)C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1507,144213924,74978,C1CCC(CC1)(C#N)N=NC2(CCCCC2)C#N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1508,144212782,10409,C1CCCCCCCC(=O)CCCCCC1,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1509,144212810,31211,CC(=O)CCC1=CC(=C(C=C1)O)OC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Alfa Aesar
1510,144212831,23666110,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)[O-])N)I)I)O.[Na+],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1511,144213558,9217,C1=CC=C2C(=C1)OC3=CC=CC=C3S2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1512,144213616,11937,C1=CC=C2C=C3C=C(C=CC3=CC2=C1)N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1513,144213630,14716,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,TCI
1514,144213719,31404,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1515,144213709,20087,CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,LightBiologicals
1516,144213877,3902,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1517,144213741,14642,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Alfa Aesar
1518,144213817,173058,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)OC)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1519,144211513,8010,C(C#N)C#N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Enamine
1520,144207213,18170,C1=CC=C(C=C1)CSC#N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Alfa Aesar
1521,144207235,15439,C=CCCCCCCC=C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,SIGMA
1522,144207267,8247,CC(=O)NNC1=CC=CC=C1,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,SIGMA
1523,144207367,25608,C1=CC(=C(C=C1C(Cl)(Cl)Cl)Cl)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1524,144207454,24937,[N+](=O)([O-])[O-].[Tl+],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1525,144207532,11560,CC1=CC(=CC=C1)Br,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1526,144207533,11584,CC(=O)OCC=C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1527,144207534,11673,CC(C)([N+](=O)[O-])Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1528,144207572,7046,C1CNCC2=CC=CC=C21,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1529,144207596,8809,CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,ChemService
1530,144207618,8071,COCCOC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1531,144207663,33263,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1532,144207665,94483,CC(C)(C1=CC=C(C=C1)OC2=CC3=C(C=C2)C(=O)OC3=O)C4=CC=C(C=C4)OC5=CC6=C(C=C5)C(=O)OC6=O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1533,144207666,114129,CC(C)(CC(=O)OC)C=C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,Sensient
1534,144207688,7302,C1CC(=O)OC1,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1535,144207691,14500,C1CCC(=NO)C1,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1536,144207795,12991988,CCCC[N+](C)(C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,Io-li-tec
1537,144207797,53260965,C[N+](C)(C)CCO.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,Io-li-tec
1538,144207847,9414,CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,ChemService
1539,144208176,4992,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SV Chembiotech
1540,144208199,11247,CC(=O)[O-].[Tl+],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1541,144208217,12332,CCCCCC(=O)N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1542,144208248,74189,C1=CC=C(C=C1)COP(=O)(O)OCC2=CC=CC=C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,SigmaAldrich
1543,144208269,527,CCC=O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,SIGMA
1544,144208305,6276,CCCCCO,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1545,144208321,38764,CCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1546,144208342,18273,C=CC1CC2CC1C=C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1547,144208379,17549,C1=CC(=CC=C1C(=O)NCC(=O)O)[N+](=O)[O-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1548,144208381,517637,CC(COC(=O)C1=CC=CC=C1)OC(=O)C2=CC=CC=C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1549,144208491,1732,CC1=C(C=CC(=C1)O)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1550,144208499,10458,C(CCCCCC(=O)O)CCCCCC(=O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,SIGMA
1551,144208507,11164,C1C(O1)CO,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1552,144208588,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1553,144208713,7391,CC(C)(C)C1CCC(CC1)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1554,144208733,12713,CCCCC(CC)COC(=O)C(=C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1555,144208746,11167,CN=C=S,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
1556,144208768,6423,C([N+](=O)[O-])(Cl)(Cl)Cl,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inconclusive antagonist,,,SIGMA
1557,144208769,12251,COCC(=O)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,SIGMA
